Source,Style,Sub_Style,File_Name,File_Path,Neckline,Sleeve,Print,Length,Fit
Tommy-Hilfiger,Dress,TH-Dress,usatommy_dw04237_black-iris.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_dw04237_black-iris.jpg,V-Neck,Sleeveless,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5722697_sunshine--ivory.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5722697_sunshine--ivory.jpg,Crew,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_dw0dw03617682_blush.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_dw0dw03617682_blush.jpg,Collared,3/4 Sleeve,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_ww22353_classic-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_ww22353_classic-white.jpg,Collared,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_ww21774a_tropical-floral-gingham.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_ww21774a_tropical-floral-gingham.jpg,V-Neck,Sleeveless,,Mid/Tea Length,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_dw04211_light-grey-htr.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_dw04211_light-grey-htr.jpg,Crew,Long Sleeve,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_4852076_black-white2.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_4852076_black-white2.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_6054485_ivory-blue.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_6054485_ivory-blue.jpg,Crew,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5886885_white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5886885_white.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww21455390_trophy-floral-overprint-gingham-prt---na.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww21455390_trophy-floral-overprint-gingham-prt---na.jpg,Collared,Sleeveless,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_ww21553_classic-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_ww21553_classic-white.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5537310_navy-multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5537310_navy-multi.jpg,Crew,Sleeveless,,Mid/Tea Length,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww21470692_crimson.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww21470692_crimson.jpg,Crew,3/4 Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww21976901_midnight---lght-grey-hthr.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww21976901_midnight---lght-grey-hthr.jpg,Collared,Long Sleeve,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5315464_blush.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5315464_blush.jpg,Scoop,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww22054403_midnight.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww22054403_midnight.jpg,Crew,Sleeveless,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5735043_black-ivory.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5735043_black-ivory.jpg,V-Neck,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww20022631_bubblegum.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww20022631_bubblegum.jpg,Collared,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_4822549_red.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_4822549_red.jpg,Crew,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_rw00903_red.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_rw00903_red.jpg,Collared,Sleeveless,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_rw0rw00747901_meteorite---multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_rw0rw00747901_meteorite---multi.jpg,Scoop,Short Sleeve,,Long/Maxi,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5379769_black-ivory2.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5379769_black-ivory2.jpg,Cold Shoulder,Short Sleeve,,Mid/Tea Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5536560_red-blue-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5536560_red-blue-white.jpg,Crew,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww21241443_peacoat.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww21241443_peacoat.jpg,Crew,3/4 Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5886906_blue.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5886906_blue.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww21457406_degrade-heart-jacquared---midnight.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww21457406_degrade-heart-jacquared---midnight.jpg,Collared,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5017494_celestial.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5017494_celestial.jpg,Crew,3/4 Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5536531_black.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5536531_black.jpg,Scoop,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5722696_ivory--sky-captain.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5722696_ivory--sky-captain.jpg,Scoop,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5791697_navy-natural.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5791697_navy-natural.jpg,Crew,Sleeveless,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5440166_midnight-multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5440166_midnight-multi.jpg,Crew,Short Sleeve,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_4539025_bloom-multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_4539025_bloom-multi.jpg,Scoop,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_dw0dw04214902_small-geo-print.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_dw0dw04214902_small-geo-print.jpg,Scoop,3/4 Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5017494_coastal.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5017494_coastal.jpg,Crew,3/4 Sleeve,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_dw02751_snow-white---medieval-blue.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_dw02751_snow-white---medieval-blue.jpg,Boat,Long Sleeve,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww22133817_mini-leaf-prt---fiesta.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww22133817_mini-leaf-prt---fiesta.jpg,Scoop,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww21826755_sunshine.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww21826755_sunshine.jpg,One Shoulder,Short Sleeve,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_ww20205_dip-dye-star-prt.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_ww20205_dip-dye-star-prt.jpg,Collared,Long Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_dw04233_black-iris---bright-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_dw04233_black-iris---bright-white.jpg,Scoop,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_rw0rw00837901_peacoat---multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_rw0rw00837901_peacoat---multi.jpg,Crew,Long Sleeve,,Mid/Tea Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5536561_bloom-multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5536561_bloom-multi.jpg,Scoop,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_6054079_scarlet-combo.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_6054079_scarlet-combo.jpg,Collared,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_rw00346_peacoat---multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_rw00346_peacoat---multi.jpg,Cold Shoulder,Long Sleeve,,Mid/Tea Length,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_ww21033_tommy-tartan-large-red.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_ww21033_tommy-tartan-large-red.jpg,Collared,3/4 Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_1659_flame-scarlet.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_1659_flame-scarlet.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww21889399_sequin-stp---jelly-bean.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww21889399_sequin-stp---jelly-bean.jpg,Crew,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_dw02740_total-eclipse---cabernet.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_dw02740_total-eclipse---cabernet.jpg,Boat,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5722683_ivory-navy.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5722683_ivory-navy.jpg,Scoop,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_ww20882_tartan-star-y-d---cw.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_ww20882_tartan-star-y-d---cw.jpg,Crew,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_6161533_blue-multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_6161533_blue-multi.jpg,Collared,3/4 Sleeve,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_ww20593_peacoat---snow-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_ww20593_peacoat---snow-white.jpg,Crew,3/4 Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_dw0dw03626902_navy-blazer-multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_dw0dw03626902_navy-blazer-multi.jpg,Crew,Long Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww22134084_fiesta.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww22134084_fiesta.jpg,Scoop,Sleeveless,,Mid/Tea Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5536550_black--ivory.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5536550_black--ivory.jpg,Scoop,Sleeveless,,Mid/Tea Length,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww22468100_classic-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww22468100_classic-white.jpg,Scoop,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_dw0dw04229405_light-indigo.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_dw0dw04229405_light-indigo.jpg,Collared,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_6054091_dutch-blue-multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_6054091_dutch-blue-multi.jpg,Off-The-Shoulder,3/4 Sleeve,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_2904572_sun-ivory.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_2904572_sun-ivory.jpg,Scoop,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww22343094_black-beauty.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww22343094_black-beauty.jpg,Scoop,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_6246286_henna-hibiscus.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_6246286_henna-hibiscus.jpg,V-Neck,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_4460534_ivory-khaki-seashell.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_4460534_ivory-khaki-seashell.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww21316902_midnight---classic-white-stp.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww21316902_midnight---classic-white-stp.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww21815472_classic-polka-dot-prt---navy-blazer.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww21815472_classic-polka-dot-prt---navy-blazer.jpg,Crew,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_ww21670_black-beauty.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_ww21670_black-beauty.jpg,Crew,Sleeveless,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5379203_black-white16.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5379203_black-white16.jpg,Scoop,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww21561403_midnight.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww21561403_midnight.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5315446_black-blush-white6.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5315446_black-blush-white6.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5735045_ballerina-pink-multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5735045_ballerina-pink-multi.jpg,V-Neck,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5735045_mint-multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5735045_mint-multi.jpg,V-Neck,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_2975964_dark-silver14.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_2975964_dark-silver14.jpg,Scoop,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww22423094_black-beauty.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww22423094_black-beauty.jpg,V-Neck,3/4 Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_dw0dw04228412_mid-indigo.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_dw0dw04228412_mid-indigo.jpg,Crew,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww24156901_haute-red-classic-white-aop.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww24156901_haute-red-classic-white-aop.jpg,Crew,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5440138_scarlet-ivory-black.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5440138_scarlet-ivory-black.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_dw0dw04206002_black-iris.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_dw0dw04206002_black-iris.jpg,Scoop,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_ww22470_fiesta.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_ww22470_fiesta.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_ww21774_jelly-bean.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_ww21774_jelly-bean.jpg,V-Neck,Sleeveless,,Mid/Tea Length,NA
